winery;country;region_1
tenuta forconi;italy;toscana
henrys drive vignerons;australia;padthaway
le riche;south africa;
delheim;south africa;
lassègue;france;saint émilion
beaumont;south africa;
terra valentine;us;spring mountain district
testarossa;us;santa lucia highlands
vincent vineyards;us;santa ynez valley
weingut liebfrauenstift;germany;
wrath;us;monterey
yardstick;us;napa valley
herdade grande;portugal;
albatross ridge;us;carmel valley
alta colina;us;paso robles
marques de griñon;spain;dominio de valdepusa
big basin;us;santa cruz mountains
carl graff;germany;
casa santa vitória;portugal;
castello di gabbiano;italy;chianti classico
castello romitorio;italy;brunello di montalcino
château vincens;france;cahors
chronic cellars;us;paso robles
claiborne  churchill;us;edna valley
collin bourisset;france;moulin à vent
conde de velázquez;chile;
cono sur;chile;
domaine berthoumieu;france;madiran
dracaena;us;paso robles
duckhorn;us;napa valley
dutton goldfield;us;russian river valley
fritz haag;germany;
g7;chile;
le cadeau;us;willamette valley
stoneleigh;new zealand;
terramater;chile;
la chablisienne;france;chablis
alamos;argentina;salta
apaltagua;chile;
viña bisquertt;chile;
emiliana;chile;
bertrand ambroise;france;st romain
spier;south africa;
sequum;us;napa valley
sierra starr;us;nevada county
tenuta di sesta;italy;brunello di montalcino
terlan;italy;alto adige
yatir;israel;
adega cooperativa de borba;portugal;
j lohr;us;paso robles
courtney benham;us;napa valley
del carlo winery;us;dry creek valley
delaire graff;south africa;
domaine st pierre;france;côtes du rhône
eikendal;south africa;
famille perrin;france;vacqueyras
matarromera;spain;rueda
mcv;us;paso robles
mounts;us;dry creek valley
or haganuz;israel;
podere scopetone;italy;brunello di montalcino
quinta de foz de arouce;portugal;
robert mondavi;us;napa valley
samuel tinon;hungary;
sixteen by twenty;us;sonoma coast
st pauls;italy;alto adige
talenti;italy;brunello di montalcino
mendel;argentina;luján de cuyo
oldenburg;south africa;
bloomer creek;us;finger lakes
andean sky;argentina;mendoza
silvan ridge;us;willamette valley
darenberg;australia;mclaren vale
domaine du tariquet;france;vin de pays des côtes de gascogne
j  f lurton;spain;vino de la tierra de castilla y león
finca las moras;argentina;san juan
amity;us;willamette valley
cherry hill;us;willamette valley
cueva de las manos;argentina;luján de cuyo
esterlina;us;cole ranch
goats do roam wine co;south africa;
graham beck;south africa;
hartenberg;south africa;
vignobles 46n118;france;cahors
willamette valley vineyards;us;willamette valley
algodon;argentina;
beaver creek;us;napa valley
jardin;south africa;
kaiken;argentina;mendoza
mariell;austria;
my big fat greek wine;greece;
o fournier;argentina;uco valley
sottano;argentina;mendoza
forstreiter;austria;
i giusti e zanza;italy;toscana
j christopher;us;dundee hills
viña cobos;argentina;perdriel
salomon undhof;austria;
acústic;spain;montsant
josef schmid;austria;
château lafon rochet;france;saint estèphe
dionigi;italy;sagrantino di montefalco
domaine daniel dugois;france;arbois
kilikanoon;australia;barossa valley
finca sophenia;argentina;tupungato
ventisquero;chile;
arboleda;chile;
buried cane;us;columbia valley wa
claudia springs;us;mendocino county
cramele recas;romania;
domaine bertagna;france;côte de nuits villages
domaine sigalas;greece;
ottos constant dream;new zealand;
château mont pérat;france;bordeaux blanc
château tour de mirambeau;france;bordeaux blanc
lucas vineyards;us;finger lakes
de martino;chile;
jacquart;france;champagne
koyle;chile;
château notre dame du quatourze;france;languedoc
mémoires;france;coteaux varois en provence
cavas hill;spain;cava
antoine moltès  fils;france;alsace
pezzi king;us;dry creek valley
bellisco;spain;cava
pura 8;chile;
viña tarapacá;chile;
chambers rosewood vineyards;australia;rutherglen
robert weil;germany;
torbreck;australia;barossa
cavallotto;italy;barolo
oremus;hungary;
rochioli;us;russian river valley
louis latour;france;montrachet
jasper hill;australia;heathcote
château de la tour;france;clos de vougeot
weingut hans bausch;germany;
philippe colin;france;chassagne montrachet
bel colle;italy;barolo
j davies;us;diamond mountain district
winderlea;us;dundee hills
wakefield;australia;clare valley
cantina terlano;italy;alto adige
montresor;italy;bianco di custoza
ronco del gelso;italy;friuli
elena walch;italy;alto adige
gini;italy;soave
borgo conventi;italy;collio
volpe pasini;italy;colli orientali del friuli
zenato;greece;
la vis;italy;trentino
lapostolle;chile;
fratelli zeni;italy;bianco di custoza
carmen;chile;
tommasi;italy;valdadige
san michele eppan;italy;alto adige
kynsi;us;edna valley
casa julia;chile;
valdivieso;chile;
san pedro;chile;
undurraga;chile;
conti formentini;italy;collio
mcgregor;us;finger lakes
miles;us;finger lakes
red newt cellars;us;finger lakes
michlits;austria;
château de callac;france;graves
château de marsan;france;bordeaux blanc
guardian;us;columbia valley wa
kerloo;us;walla walla valley wa
kohl;austria;
las positas;us;california
lieb;us;new york
luberri;spain;rioja
macari;us;north fork of long island
malat;austria;
milbrandt;us;wahluke slope
ojai;us;santa ynez valley
onx;us;templeton gap district
pomum;us;snipes mountain
prospect 772;us;santa barbara county
revello fratelli;italy;barolo
gebeshuber;austria;
tenuta la marchesa;italy;gavi
trione;us;alexander valley
vinos de arganza;spain;bierzo
walla walla vintners;us;walla walla valley wa
winzer krems;austria;
wölffer;us;long island
dunbar;us;sonoma valley
eschenhof holzer;austria;
fattorie romeo del castello;italy;etna
flying cloud;us;paso robles
gadais père et fils;france;muscadet sèvre et maine
andré brunel;france;côtes du rhône
majolini;italy;franciacorta
montaudon;france;champagne
montemercurio;italy;vino nobile di montepulciano
patrick javillier;france;meursault
philippe fontaine;france;champagne
pillitteri;canada;niagara on the lake
roederer estate;us;anderson valley
bellavista;italy;franciacorta
chanoine;france;champagne
chehalem;us;ribbon ridge
henri de villamont;france;meursault
vollereaux;france;champagne
wittmann;germany;
valentina cubi;italy;amarone della valpolicella
deutz;france;champagne
domaine serene;us;willamette valley
dr loosen;germany;
h blin;france;champagne
jeaunaux robin;france;champagne
château vray croix de gay;france;pomerol
dampierre;france;champagne
sparkman;us;red mountain
cape view;south africa;
ken forrester;south africa;
louis bernard;france;côtes du rhône villages
vn cellars;spain;cava
zerba cellars;us;walla walla valley wa
insania;us;red mountain
knapp;us;finger lakes
lava cap;us;el dorado
loess;spain;rueda
mica cellars;us;suisun valley
domaine du grand cros;france;côtes de provence
el coto;spain;rioja
fenestra;us;lodi
gunter triebaumer;austria;
alain jaume et fils;france;côtes du rhône
aleo;spain;vino de la tierra de castilla y león
camaraderie;us;wahluke slope
beringer;us;napa valley
boude baudin;france;champagne
conn creek;us;chiles valley
dr stephens;us;sonoma coast
davis family;us;russian river valley
domaine jeannin naltet;france;mercurey
qupé;us;edna valley
rex hill;us;willamette valley
ruby;us;chehalem mountains
structure;us;horse heaven hills
tumwater;us;dundee hills
joseph jewell;us;russian river valley
le vigne;us;paso robles
maximin grünhäuser;germany;
northstar;us;walla walla valley wa
padis;us;napa valley
paul obrien;us;umpqua valley
flying goat cellars;us;santa maria valley
abbazia di novacella;italy;alto adige valle isarco
midsummer cellars;us;napa valley
les belles collines;us;napa valley
lutum;us;sonoma coast
turiya;us;ballard canyon
iron horse;us;green valley
brandini;italy;barolo
artesa;us;carneros
carlisle;us;sonoma valley
château vignelaure;france;coteaux daix en provence
clos dargentine;argentina;mendoza
mas de cadenet;france;côtes de provence sainte victoire
passing time;us;horse heaven hills
resalte;spain;ribera del duero
sanctuary;us;santa maria valley
terre rouge;us;sierra foothills
limerick lane;us;russian river valley
loring wine company;us;sonoma coast
eighty four;us;napa valley
four lanterns;us;paso robles
worlds end;us;napa valley
benegas;argentina;mendoza
wh smith;us;howell mountain
alleromb;us;columbia valley wa
ardor;us;yakima valley
berryessa gap;us;yolo county
brezza;italy;dolcetto dalba
château bois chantant;france;bordeaux supérieur
château de campuget;france;costières de nîmes
château de laubrade;france;bordeaux supérieur
château de pressac;france;saint émilion
chateau lafayette reneau;us;finger lakes
château maison noble saint martin;france;bordeaux
cupcake;us;california
raconteur;us;washington
savage grace;us;columbia gorge wa
seven falls;us;wahluke slope
silvertip;us;santa cruz mountains
steininger;austria;
stevens;us;yakima valley
strauss;austria;
trinity river;us;north coast
umathum;austria;
vintage cowboy;us;paso robles
kontos;us;walla walla valley wa
landhaus mayer;austria;
lavau;france;
lecole no 41;us;columbia valley wa
lyrarakis;greece;
midnight;us;paso robles
monte xanic;mexico;
peconic bay winery;us;north fork of long island
príncipe de viana;spain;navarra
proemio;argentina;mendoza
quady north;us;rogue valley
quinta do portal;portugal;
raptor ridge;us;chehalem mountains
solar de pinheiro;portugal;
tilia;argentina;mendoza
coiled;us;
colters creek;us;idaho
kangarilla road;australia;mclaren vale
walt;us;russian river valley
willakenzie estate;us;willamette valley
willm;france;alsace
jean marc bernhard;france;alsace
yeringberg;australia;yarra valley
armida;us;dry creek valley
marqués de murrieta;spain;rioja
biecher  schaal;france;alsace
domaines schlumberger;france;alsace
foxen;us;santa maria valley
luis duarte;portugal;
melhill;us;sonoma coast
niner;us;paso robles
purple hands;us;willamette valley
quinta da lagoalva de cima;portugal;
quinta do monte xisto;portugal;
reichsgraf von kesselstatt;germany;
stone the crows;us;napa valley
sturm;italy;collio
kuentz bas;france;alsace
plantagenet;australia;great southern
scratch;us;arroyo seco
sipp mack;france;alsace
st amant;us;mokelumne river
stoller;us;dundee hills
fable mountain;south africa;
vine cliff;us;los carneros
va piano;us;walla walla valley wa
y rousseau;us;mount veeder
monte volpe;us;mendocino
palladino;italy;barolo
paradise ridge;us;rockpile
pecchenino;italy;dogliani superiore
poderi colla;italy;barbera dalba
poets leap;us;columbia valley wa
rafael cambra;spain;valencia
raphael;us;north fork of long island
seven hills;us;walla walla valley wa
snoqualmie;us;columbia valley wa
stags leap winery;us;napa valley
the grapes of roth;us;long island
the withers winery;us;anderson valley
truchard;us;carneros
acacia;us;carneros
array;us;yakima valley
baracchi riccardo;italy;cortona
barrister;us;columbia valley wa
bodegas berceo;spain;rioja
bunnell;us;columbia valley wa
castello di neive;italy;piemonte
castello di querceto;italy;colli della toscana centrale
chateau ste michelle;us;horse heaven hills
cobb;us;sonoma coast
comm g b burlotto;italy;barolo
cooper garrod;us;santa cruz mountains
mosquito fleet;us;red mountain
nadia;us;santa barbara county
nittnaus hans und christine;austria;
nottingham cellars;us;livermore valley
poggio argentiera;italy;morellino di scansano
pride mountain;us;sonoma county
reyneke;south africa;
ruffino;italy;chianti classico
saint clair;new zealand;
soellner;austria;
woodinville wine cellars;us;columbia valley wa
kanonkop;south africa;
el enemigo;argentina;mendoza
château desclans;france;côtes de provence
château riotor;france;côtes de provence
château sainte marguerite;france;côtes de provence
cloudy bay;new zealand;
domaine de la bastide blanche;france;côtes de provence
domaine sainte marie;france;côtes de provence
dry creek vineyard;us;dry creek valley
dry river;new zealand;
dutton estate;us;russian river valley
failla;us;russian river valley
friedeman;us;russian river valley
akarua;new zealand;
benvenuto de la serna;argentina;valle de uco
carrick;new zealand;
jcb;france;côtes de provence
casca wines;portugal;
cave de viré;france;mâcon villages
cortes de cima;portugal;
domaine bousquet;argentina;tupungato
messias;portugal;
mont sec;us;texas
paolo manzone;italy;barolo
quinta de paços;portugal;
rascal;us;oregon
terrazas de los andes;argentina;salta
jacks house;us;california
kiwi cuvée;france;vin de france
domaine michel goubard;france;côte chalonnaise
domaine poulleau père et fils;france;chorey lès beaune
durigutti;argentina;mendoza
el esteco;argentina;calchaquí valley
felten cellars;us;paso robles
wines  winemakers;portugal;
lagarde;argentina;luján de cuyo
marchesi di barolo;italy;barolo
mcpherson;us;texas
patriarche père et fils;france;coteaux bourguignons
paul reitz;france;saint véran
pech merle;us;dry creek valley
punset;italy;barbaresco
ribafreixo;portugal;
jacobs creek;australia;south eastern australia
casa larga;us;finger lakes
cave de beblenheim;france;alsace
dopff au moulin;france;alsace
monte de oro;us;temecula valley
ninquén;chile;
oro de castilla;spain;rueda
pablo del villar;spain;rueda
42°s;australia;tasmania
manyana;spain;cariñena
mcwilliams hanwood estate;australia;south eastern australia
g h mumm;france;champagne
jean milan;france;champagne
monte da penha;portugal;
patton valley;us;willamette valley
pierre gimonnet et fils;france;champagne
adelsheim;us;dundee hills
bruno paillard;france;champagne
quinta do sagrado;portugal;
san pedro de yacochuya;argentina;salta
sobredos;portugal;
st supéry;us;rutherford
von schleinitz;germany;
barnard griffin;us;columbia valley wa
beacon hill;us;chehalem mountains
bernard magrez;france;médoc
brian carter cellars;us;yakima valley
buttonwood;us;santa ynez valley
château corbin;france;saint émilion
château haut logat;france;haut médoc
château la branne;france;médoc
château mayne vieil;france;fronsac
château mille roses;france;margaux
chessman;us;santa ynez valley
deerfield ranch;us;sonoma valley
domaine franck besson;france;juliénas
efeste;us;red mountain
firesteed;us;oregon
iron hub;us;sierra foothills
kooyong;australia;mornington peninsula
moncaro;italy;verdicchio dei castelli di jesi classico
finca constancia;spain;vino de la tierra de castilla
aiken;us;rutherford
castell;germany;
donkey  goat;us;mendocino ridge
valdicava;italy;rosso di montalcino
finn hill;us;wahluke slope
keuka spring;us;finger lakes
la playa;chile;
les vins aujoux;france;beaujolais villages
mont gravet;france;côtes de gascogne
navardia;spain;rioja
pata negra;spain;cava
ridolfi;italy;rosso di montalcino
still waters;us;paso robles
stomping ground;us;california
tenuta poggio il castellare;italy;brunello di montalcino
tenuta san giorgio;italy;rosso di montalcino
terrapura;chile;
clos troteligotte;france;côtes du lot
columbia winery;us;columbia valley wa
domaine de thulon;france;beaujolais villages
domaine du haut poncié;france;moulin à vent
domaine du vissoux;france;beaujolais
dosio;italy;nebbiolo dalba
georges duboeuf;france;beaujolais
juvé y camps;spain;cava
laurent gauthier;france;beaujolais rosé
leaping horse;us;california
manoir du carra;france;beaujolais villages
maryhill;us;columbia valley wa
cottanera;italy;etna
cva canicattì;italy;terre siciliane
domaine barmès buecher;france;alsace
domaine bott geyl;france;alsace
domaine collotte;france;marsannay
domaine faiveley;france;gevrey chambertin
domaine jacques prieur;france;beaune
domaine rené bouvier;france;marsannay
domaine roland schmitt;france;alsace
dr h thanisch erben thanisch;germany;
easton;us;amador county
edna valley vineyard;us;edna valley
fattoria la rivolta;italy;sannio
fess parker;us;santa barbara county
foretell;us;spring mountain district
gershon bachus;us;temecula valley
graci;italy;etna
tornatore;italy;etna
west of temperance;us;sta rita hills
winzergenossenschaft mayschoss altenahr;germany;
baglio del cristo di campobello;italy;sicilia
beresford;australia;mclaren vale
carabella;us;chehalem mountains
casa dumetz;us;ballard canyon
greenwood ridge;us;mendocino ridge
herencia;us;napa valley
j scott cellars;us;oregon
chateau dereszla;hungary;
quinta do vallado;portugal;
roquette e cazes;portugal;
vall llach;spain;priorat
château bel air ortet;france;saint estèphe
château ferrière;france;margaux
fuentes;spain;priorat
loup blanc;france;minervois
maritávora;portugal;
owen roe;us;yakima valley
bergevin lane;us;columbia valley wa
hungerford hill;australia;south eastern australia
leonesse cellars;us;temecula valley
market vineyards;us;columbia valley wa
morlanda;spain;priorat
becker;us;texas high plains
bex;germany;
boffa;italy;barbaresco
brennan;us;texas
casa de vilacetinho;portugal;
cascina bruciata;italy;barbaresco
antucura;argentina;vista flores
frédéric brouca;france;vin de france
fullerton;us;willamette valley
gotsa family wines;;
graffigna;argentina;san juan
coelho;us;willamette valley
deltetto;italy;barolo
diego conterno;italy;barolo
evans  tate;australia;australia
falua;portugal;
fiuza;portugal;
sidewood;australia;adelaide hills
antonio mas;argentina;tupungato
aveleda;portugal;
battaglio;italy;barbaresco
bella grace;us;amador county
bodega calle;argentina;mendoza
borgogno flli serio e battista;italy;barolo
château les petits arnauds;france;blaye côtes de bordeaux
château mougneaux;france;bordeaux supérieur
château saintongey;france;bordeaux
château ségonzac;france;blaye côtes de bordeaux
covila;spain;rioja
cuda ridge wines;us;livermore valley
duménil;france;champagne
ego bodegas;spain;jumilla
ektimo vineyards;us;russian river valley
finca del marquesado;spain;rioja
folin cellars;us;rogue valley
francis coppola;us;sonoma county
frank family;us;rutherford
real companhia velha;portugal;
santos  seixo;portugal;
travaglini;italy;coste della sesia
yorkville cellars;us;yorkville highlands
agustí torelló mata;spain;penedès
amalie robert;us;willamette valley
archgate cellars;us;lodi
bersano;italy;barolo
cantine di marzo;italy;greco di tufo
carica;us;russian river valley
ignacio marín;spain;cariñena
château cap saint martin;france;blaye côtes de bordeaux
château de bel;france;bordeaux supérieur
vranken;france;champagne
château pavillon de boyrein;france;graves
kono;new zealand;
santa ema;chile;
morandé;chile;
pommery;france;champagne
covington;us;walla walla valley wa
château lamothe vincent;france;bordeaux blanc
yvon mau;france;bordeaux blanc
byzantium;romania;
pascual toso;argentina;mendoza
quinta de la rosa;portugal;
lachini;us;oregon
mauro;spain;vino de la tierra de castilla y león
domaine de mirail;france;vin de pays des côtes de gascogne
domaine des terrisses;france;gaillac
fournier père et fils;france;sancerre
the four graces;us;dundee hills
arcane cellars;us;rogue valley
benton lane;us;willamette valley
château puy servain;france;montravel
domaine philippe portier;france;quincy
expression 44°;us;eola amity hills
antichi vinai 1877;italy;etna
brecon estate;us;paso robles
callaway;us;temecula valley
casa di grazia;italy;sicilia
ruhlmann;france;alsace
spring mountain vineyard;us;napa valley
stanton vineyard;us;willamette valley
cusumano;italy;sicilia
dalton;israel;
dragonette;us;happy canyon of santa barbara
gaba do xil;spain;valdeorras
gorka izagirre;spain;bizkaiko txakolina
grgich hills;us;carneros
linaje garsea;spain;ribera del duero
omaka springs;new zealand;
ventana;us;arroyo seco
vieil armand;france;alsace
viticultori associati canicatti;italy;terre siciliane
vivera;italy;etna
wildaire;us;walla walla valley or
mills reef;new zealand;
pazo torrado;spain;rías baixas
sur de los andes;argentina;mendoza
babich;new zealand;
rentas de fincas;spain;rioja
setzer;austria;
honeywood winery;us;willamette valley
kedars korus;france;vin de pays doc
marqués de vizhoja;spain;rías baixas
finca la emperatriz;spain;rioja
graf hardegg;austria;
botalcura;chile;
château bélingard;france;monbazillac
clos teddi;france;patrimonio
ormonde;south africa;
sandeman;portugal;
scott harvey;us;amador county
sea slopes;us;sonoma coast
trisaetum;us;willamette valley
bergström;us;dundee hills
mauro veglio;italy;barolo
poças;portugal;
quinta do vesuvio;portugal;
schild estate;australia;barossa valley
shafer;us;carneros
alphonse mellot;france;sancerre
ascheri;italy;barolo
big table farm;us;willamette valley
horsepower;us;walla walla valley or
château de parnay;france;saumur champigny
tres sabores;us;rutherford
williams selyem;us;sonoma coast
cayuse;us;walla walla valley or
chappellet;us;napa valley
churchills;portugal;
dion;us;chehalem mountains
domaine bernard fleuriet et fils;france;sancerre
drouhin oregon roserock;us;eola amity hills
santa alicia;chile;
rutherford ranch;us;napa valley
sextant;us;paso robles
weixelbaum;austria;
landmark;us;sonoma coast
mercer;us;yakima valley
michel gassier;france;costières de nîmes
nada fiorenzo;italy;langhe
barrage cellars;us;yakima valley
bonny doon;us;central coast
carpineto;italy;vino nobile di montepulciano
casajús;spain;ribera del duero
castellroig;spain;cava
château dor et de gueules;france;costières de nîmes
citille di sopra;italy;rosso di montalcino
condado de oriza;spain;ribera del duero
cookies  cream;us;california
daou;us;paso robles
dei;italy;rosso di montepulciano
domaine de gensac;france;gers
domaine rolet père et fils;france;crémant de jura
domaine rotier;france;vin de liqueur
three brothers;us;seneca lake
wilridge;us;naches heights
belden barns;us;sonoma mountain
château du retout;france;haut médoc
château la gravette lacombe;france;médoc
château méric;france;médoc
in re;us;napa valley
chasing venus;new zealand;
château les joyeuses;france;bordeaux
château monfort bellevue;france;médoc
château vrai caillou;france;bordeaux supérieur
concha y toro;chile;
experience;us;napa valley
cantine grasso;italy;terre siciliane
madrigal;us;napa valley
millbrook;us;hudson river region
santa rita;chile;
scotto family cellars;us;lodi
spicy vines;us;mendocino
les vignerons réunis de monségur;france;bordeaux
nugnes;italy;campania
château les lattes;france;médoc
ports of new york;us;new york
whitman cellars;us;columbia valley wa
winkler hermaden;austria;
fire block;australia;clare valley
palivou;greece;
felsner;austria;
tsantali;greece;
lost river;us;columbia valley wa
trapiche;argentina;mendoza
louis guntrum;germany;
rutini;argentina;mendoza
schloss halbturn;austria;
zolo;argentina;valle de uco
bailly lapierre;france;crémant de bourgogne
balo;us;anderson valley
boasso;italy;barolo
broccardo;italy;barolo
casa agricola santos jorge;portugal;
cave des vignerons de buxy;france;mâcon villages
chamlija;turkey;
château de fuissé;france;saint véran
château de santenay;france;chassagne montrachet
chime;us;california
christophe cordier;france;pouilly fuissé
famille laplace;france;vin de france
finca lalande;argentina;mendoza
altos las hormigas;argentina;mendoza
aubichon cellars;us;willamette valley
ben haines;australia;goulburn valley
blue fish;germany;
bouchard père  fils;france;pouilly fuissé
cambridge  sunset;us;california
cascina chicco;italy;barolo
quinta da foz;portugal;
st francis;us;alexander valley
tamber bey;us;yountville
tantara;us;santa maria valley
westerly;us;sta rita hills
aesthete;us;bennett valley
bacalhôa wines of portugal;portugal;
barton;us;paso robles willow creek district
bava;italy;
bucci;italy;verdicchio dei castelli di jesi classico
central coast group project;us;santa barbara county
château tour grand faurie;france;saint émilion
hecho por ruben;us;ballard canyon
j portugal ramos;portugal;
judds hill;us;suisun valley
longboard;us;russian river valley
piro;us;santa maria valley
point  line;us;sta rita hills
secret spot wines;portugal;
white hart wine;us;monterey
balletto;us;russian river valley
bien nacido;us;santa maria valley
bodega de edgar;us;central coast
cambria;us;santa maria valley
barrière frères;france;bordeaux
château la grande barthe;france;montagne saint émilion
danie de wet;south africa;
dr wehrheim;germany;
mulderbosch;south africa;
rietvallei estate wine;south africa;
sol duc;us;columbia valley wa
horan estates;us;columbia valley wa
leo;germany;
villa wolf;germany;
washington hills;us;washington
guardian peak;south africa;
cameron hughes;spain;rioja
venta morales;spain;la mancha
hannah nicole vineyards;us;contra costa county
hosmer;us;cayuga lake
barkan;israel;
black star farms;us;michigan
lusco;spain;rías baixas
michael david;us;lodi
bodegas fontana;spain;uclés
bodegas peñafiel;spain;ribera del duero
brotherhood;us;new york
cave de lugny;france;mâcon villages
dashwood;new zealand;
feudi di san gregorio;italy;greco di tufo
ghost waltz;us;sonoma county
griesbauerhof;italy;alto adige
gustav adolf schmitt;germany;
cantina produttori san michele appiano;italy;alto adige
cembra;italy;trentino
cliff lede;us;stags leap district
clos figueras;spain;priorat
consilience;us;santa barbara county
domaines landron;france;muscadet sèvre et maine
cave du vin blanc de morgex et de la salle;italy;valle daosta
cedar creek;us;fair play
colterenzio;italy;alto adige
demetria;us;santa barbara county
domaine de lermitage;france;menetou salon
domaine de rome;france;sancerre
domdechant werner;germany;
dr fischer;germany;
osborne;spain;jerez
pinord;spain;penedès
quintas de melgaço;portugal;
rosenblum;us;sonoma valley
summers;us;alexander valley
tenuta peter sölva  söhne;italy;alto adige
tiefenbrunner;italy;alto adige
tramin;italy;alto adige
vesevo;italy;greco di tufo
viszlay vineyards;us;russian river valley
yealands;new zealand;
zahel;austria;
albet i noya;spain;penedès
allram;austria;
alta alella;spain;cava
ampelos;us;sta rita hills
ascencion;us;paso robles
baigorri;spain;rioja
challen;us;sta rita hills
château coutinel;france;fronton
château grand boise;france;côtes de provence sainte victoire
château le payral;france;bergerac
clos fardet;france;madiran
crux;us;russian river valley
damiani;us;finger lakes
di meo;italy;greco di tufo
domaine clos gautier;france;côtes de provence
domaine harmonie des arpents;france;coteaux varois en provence
domäne wachau;austria;
doren;us;sonoma valley
écluse;us;paso robles
feudo montoni;italy;sicilia
grizzly peak;us;rogue valley
14 hands;us;washington
château bois noir;france;bordeaux supérieur
château du moulin rouge;france;haut médoc
chateau le grand verdus;france;bordeaux rosé
flying trout;us;columbia valley wa
horeau beylot;france;saint émilion
bodegas artazu;spain;navarra
burgo viejo;spain;rioja
penumbra;us;north coast
château de ferrand;france;saint émilion
saint andré de figuière;france;côtes de provence
chaddsford;us;pennsylvania
mas de la dame;france;les baux de provence
quinta de ventozelo;portugal;
substance;us;columbia valley wa
renato keber;italy;collio
sa prüm;germany;
schmidt;us;southern oregon
tercic;italy;collio
august truth;us;russian river valley
terre brûlée;south africa;
apriori;us;santa cruz mountains
bernat;us;santa ynez valley
bodega norton;argentina;mendoza
bouchaine;us;carneros
brys;us;old mission peninsula
bulas;portugal;
c von nell breuning;germany;
caldaro;italy;alto adige
casa da passarella;portugal;
chateau grand traverse;us;old mission peninsula
manincor;italy;alto adige terlano
mario schiopetto;italy;collio
martin ray;us;dry creek valley
matchbook;us;dunnigan hills
nals margreid;italy;alto adige
paratus;us;mount veeder
peter mertes;germany;
quinta dos murças;portugal;
replica;us;california
domaine de lhermitage;france;bandol
domaine weinbach;france;alsace
dunham;us;columbia valley wa
tamarack cellars;us;red mountain
krutzler;austria;
pamplin;us;columbia valley wa
prieler;austria;
rieflé;france;alsace
buty;us;horse heaven hills
charles smith;us;columbia valley wa
château paradis;france;coteaux daix en provence
château salettes;france;bandol
domaine de val darenc;france;bandol
fritsch;austria;
judith beck;austria;
epoch estate wines;us;paso robles
z alexander brown;us;napa valley
alain brumont;france;madiran
alex gambal;france;chassagne montrachet
alves de sousa;portugal;
château la nerthe;france;châteauneuf du pape
david duband;france;nuits st georges
le ragnaie;italy;brunello di montalcino
louis jadot;france;beaune
masi;italy;amarone della valpolicella classico
freemark abbey;us;rutherford
georges vigouroux;france;cahors
grimms bluff;us;happy canyon of santa barbara
foradori;italy;vigneti delle dolomiti
joseph phelps;us;st helena
mesa del sol;us;arroyo seco
mouchão;portugal;
pine ridge;us;napa valley
sandler;us;santa maria valley
tolosa;us;edna valley
villa poggio salvi;italy;brunello di montalcino
volker eisele family estate;us;napa valley
terranoble;chile;
