winery,country,region_1
Claudia Springs,US,Mendocino County
Cramele Recas,Romania,NA
Domaine Bertagna,France,Côte de Nuits-Villages
Domaine Sigalas,Greece,NA
Socré,Italy,Langhe
Boffa,Italy,Langhe
Otto's Constant Dream,New Zealand,NA
Mount Veeder,US,Napa Valley
Rabino,Italy,Roero
Bellussi,Italy,Prosecco di Valdobbiadene
Château Mont-Pérat,France,Bordeaux Blanc
Château Tour de Mirambeau,France,Bordeaux Blanc
Paladin,Italy,Veneto
Perlage,Italy,Prosecco di Valdobbiadene
Sant Eurosia,Italy,Prosecco di Valdobbiadene
L'Antica Quercia,Italy,Prosecco di Conegliano
Lucas Vineyards,US,Finger Lakes
Marsuret,Italy,Prosecco di Valdobbiadene
De Martino,Chile,NA
Beringer,US,Knights Valley
Brutocao,US,Mendocino
Clos La Chance,US,Central Coast
Sommariva,Italy,Prosecco di Conegliano
Spagnol,Italy,Prosecco di Valdobbiadene
Jacquart,France,Champagne
Koyle,Chile,NA
Château Notre Dame du Quatourze,France,Languedoc
Mémoires,France,Coteaux Varois en Provence
Cavas Hill,Spain,Cava
Antoine Moltès & Fils,France,Alsace
Pezzi King,US,Dry Creek Valley
Bellisco,Spain,Cava
Pura 8,Chile,NA
Viña Tarapacá,Chile,NA
Chambers Rosewood Vineyards,Australia,Rutherglen
Robert Weil,Germany,NA
Torbreck,Australia,Barossa
Cavallotto,Italy,Barolo
Oremus,Hungary,NA
Rochioli,US,Russian River Valley
Louis Latour,France,Montrachet
Jasper Hill,Australia,Heathcote
Château de la Tour,France,Clos de Vougeot
Weingut Hans Bausch,Germany,NA
Philippe Colin,France,Chassagne-Montrachet
Bel Colle,Italy,Barolo
J. Davies,US,Diamond Mountain District
Winderlea,US,Dundee Hills
Wakefield,Australia,Clare Valley
Cantina Terlano,Italy,Alto Adige
Montresor,Italy,Bianco di Custoza
Ronco del Gelso,Italy,Friuli
Sebastiani,US,Sonoma Valley
Elena Walch,Italy,Alto Adige
Gini,Italy,Soave
Borgo Conventi,Italy,Collio
Ceago Vinegarden,US,Mendocino County
Valiano,Italy,Toscana
Volpe Pasini,Italy,Colli Orientali del Friuli
Zenato,Greece,NA
L.A. Cetto,Mexico,NA
La Vis,Italy,Trentino
Lapostolle,Chile,NA
Fratelli Zeni,Italy,Bianco di Custoza
Carmen,Chile,NA
Tommasi,Italy,Valdadige
San Michele Eppan,Italy,Alto Adige
Vinoce,US,Rutherford
Merriam,US,Russian River Valley
Murphy-Goode,US,Alexander Valley
Kynsi,US,Edna Valley
Casa Julia,Chile,NA
Valdivieso,Chile,NA
Bridlewood,US,Santa Ynez Valley
San Pedro,Chile,NA
Undurraga,Chile,NA
Conti Formentini,Italy,Collio
Cline,US,California
Astoria,Italy,Prosecco di Valdobbiadene
Cantine Maschio,Italy,Italy
Val d'Oca,Italy,Prosecco di Valdobbiadene
Vinavanti,US,California
Vino V,US,Santa Barbara County
Viticoltori Ponte,Italy,Prosecco del Veneto
Le Vigne di Alice,Italy,Prosecco di Conegliano e Valdobbiadene
McGregor,US,Finger Lakes
Miles,US,Finger Lakes
Morro Bay,US,California
Pizzolato,Italy,Prosecco del Veneto
Red Newt Cellars,US,Finger Lakes
Ca'Tullio,Italy,Prosecco del Veneto
Michlits,Austria,NA
Château de Callac,France,Graves
Château de Marsan,France,Bordeaux Blanc
Guardian,US,Columbia Valley (WA)
Kerloo,US,Walla Walla Valley (WA)
Kohl,Austria,NA
Las Positas,US,California
Lieb,US,New York
Luberri,Spain,Rioja
Macari,US,North Fork of Long Island
Malat,Austria,NA
Milbrandt,US,Wahluke Slope
Ojai,US,Santa Ynez Valley
ONX,US,Templeton Gap District
Pomum,US,Snipes Mountain
Prospect 772,US,Santa Barbara County
Revello Fratelli,Italy,Barolo
Gebeshuber,Austria,NA
Tenuta La Marchesa,Italy,Gavi
Trione,US,Alexander Valley
Vinos de Arganza,Spain,Bierzo
Walla Walla Vintners,US,Walla Walla Valley (WA)
Winzer Krems,Austria,NA
Wölffer,US,Long Island
Dunbar,US,Sonoma Valley
Eschenhof Holzer,Austria,NA
Fattorie Romeo del Castello,Italy,Etna
Flying Cloud,US,Paso Robles
Gadais Père et Fils,France,Muscadet Sèvre et Maine
André Brunel,France,Côtes du Rhône
Majolini,Italy,Franciacorta
Montaudon,France,Champagne
Montemercurio,Italy,Vino Nobile di Montepulciano
Patrick Javillier,France,Meursault
Philippe Fontaine,France,Champagne
Pillitteri,Canada,Niagara-On-The-Lake
Roederer Estate,US,Anderson Valley
Rusack,US,Santa Maria Valley
Bellavista,Italy,Franciacorta
Chanoine,France,Champagne
Chehalem,US,Ribbon Ridge
Henri de Villamont,France,Meursault
Vollereaux,France,Champagne
Wittmann,Germany,NA
Valentina Cubi,Italy,Amarone della Valpolicella
Deutz,France,Champagne
Domaine Serene,US,Willamette Valley
Dr. Loosen,Germany,NA
H. Blin,France,Champagne
Jeaunaux-Robin,France,Champagne
Bell,US,Rutherford
Château Vray Croix de Gay,France,Pomerol
Dampierre,France,Champagne
Santa Maria La Palma,Italy,Cannonau di Sardegna
Sparkman,US,Red Mountain
Argiolas,Italy,Isola dei Nuraghi
Babcock,US,Sta. Rita Hills
Cape View,South Africa,NA
Ken Forrester,South Africa,NA
Louis Bernard,France,Côtes du Rhône Villages
Lyeth,US,Sonoma County
Marco Cecchini,Italy,Colli Orientali del Friuli
Vigneti Le Monde,Italy,Friuli Grave
V&N; Cellars,Spain,Cava
Zerba Cellars,US,Walla Walla Valley (WA)
Insania,US,Red Mountain
Knapp,US,Finger Lakes
Lava Cap,US,El Dorado
Loess,Spain,Rueda
MICA Cellars,US,Suisun Valley
Michael Pozzan,US,Carneros
Domaine du Grand Cros,France,Côtes de Provence
El Coto,Spain,Rioja
Fenestra,US,Lodi
Gunter Triebaumer,Austria,NA
Hanna,US,Russian River Valley
Alain Jaume et Fils,France,Côtes du Rhône
Aleo,Spain,Vino de la Tierra de Castilla y León
Altùris,Italy,Venezia Giulia
Camaraderie,US,Wahluke Slope
Boude Baudin,France,Champagne
Conn Creek,US,Chiles Valley
D.R. Stephens,US,Sonoma Coast
Davis Family,US,Russian River Valley
Domaine Jeannin-Naltet,France,Mercurey
Qupé,US,Edna Valley
Rex Hill,US,Willamette Valley
Ruby,US,Chehalem Mountains
Structure,US,Horse Heaven Hills
Tumwater,US,Dundee Hills
Joseph Jewell,US,Russian River Valley
Le Vigne,US,Paso Robles
Maximin Grünhäuser,Germany,NA
Northstar,US,Walla Walla Valley (WA)
Padis,US,Napa Valley
Paul O'Brien,US,Umpqua Valley
Flying Goat Cellars,US,Santa Maria Valley
Abbazia di Novacella,Italy,Alto Adige Valle Isarco
Midsummer Cellars,US,Napa Valley
Les Belles Collines,US,Napa Valley
Lutum,US,Sonoma Coast
Turiya,US,Ballard Canyon
Iron Horse,US,Green Valley
Brandini,Italy,Barolo
Artesa,US,Carneros
Carlisle,US,Sonoma Valley
Château Vignelaure,France,Coteaux d'Aix-en-Provence
Clos d'Argentine,Argentina,Mendoza
Mas de Cadenet,France,Côtes de Provence Sainte-Victoire
Passing Time,US,Horse Heaven Hills
Resalte,Spain,Ribera del Duero
Sanctuary,US,Santa Maria Valley
Terre Rouge,US,Sierra Foothills
Limerick Lane,US,Russian River Valley
Loring Wine Company,US,Sonoma Coast
Eighty Four,US,Napa Valley
Four Lanterns,US,Paso Robles
World's End,US,Napa Valley
Benegas,Argentina,Mendoza
W.H. Smith,US,Howell Mountain
Alleromb,US,Columbia Valley (WA)
Ardor,US,Yakima Valley
Berryessa Gap,US,Yolo County
Brezza,Italy,Dolcetto d'Alba
Château Bois Chantant,France,Bordeaux Supérieur
Château de Campuget,France,Costières de Nîmes
Château de l'Aubrade,France,Bordeaux Supérieur
Château de Pressac,France,Saint-Émilion
Chateau Lafayette Reneau,US,Finger Lakes
Château Maison Noble Saint Martin,France,Bordeaux
Cupcake,US,California
Raconteur,US,Washington
Savage Grace,US,Columbia Gorge (WA)
Seven Falls,US,Wahluke Slope
Silvertip,US,Santa Cruz Mountains
Steininger,Austria,NA
Stevens,US,Yakima Valley
Strauss,Austria,NA
Trinity River,US,North Coast
Umathum,Austria,NA
Vintage Cowboy,US,Paso Robles
Kontos,US,Walla Walla Valley (WA)
Landhaus Mayer,Austria,NA
Lavau,France,NA
L'Ecole No. 41,US,Columbia Valley (WA)
Lyrarakis,Greece,NA
Midnight,US,Paso Robles
Michele Chiarlo,Italy,Gavi
Monte Xanic,Mexico,NA
Paoletti,US,Oak Knoll District
Peconic Bay Winery,US,North Fork of Long Island
Príncipe de Viana,Spain,Navarra
Proemio,Argentina,Mendoza
Quady North,US,Rogue Valley
Quinta do Portal,Portugal,NA
Raptor Ridge,US,Chehalem Mountains
Rodney Strong,US,Northern Sonoma
Saintsbury,US,Carneros
Sextant,US,Paso Robles
Solar de Pinheiro,Portugal,NA
Suavia,Italy,Soave Classico
Tilia,Argentina,Mendoza
B Cellars,US,Russian River Valley
Bacio della Luna,Italy,Conegliano Valdobbiadene Prosecco Superiore
Barlow,US,Calistoga
Borgo Maragliano,Italy,Piedmont
Bortolotti,Italy,Conegliano Valdobbiadene Prosecco Superiore
Coiled,US,NA
Colter's Creek,US,Idaho
Corte Falco,Italy,Soave
Domenico Cavazza,Italy,Gambellara Classico
Kangarilla Road,Australia,McLaren Vale
Walt,US,Russian River Valley
WillaKenzie Estate,US,Willamette Valley
Willm,France,Alsace
Jean-Marc Bernhard,France,Alsace
Yeringberg,Australia,Yarra Valley
Armida,US,Dry Creek Valley
Marqués de Murrieta,Spain,Rioja
Biecher & Schaal,France,Alsace
Domaines Schlumberger,France,Alsace
Foxen,US,Santa Maria Valley
Luis Duarte,Portugal,NA
Melhill,US,Sonoma Coast
Niner,US,Paso Robles
Purple Hands,US,Willamette Valley
Quinta da Lagoalva de Cima,Portugal,NA
Quinta do Monte Xisto,Portugal,NA
Reichsgraf von Kesselstatt,Germany,NA
Stone The Crows,US,Napa Valley
Sturm,Italy,Collio
Plantagenet,Australia,Great Southern
Scratch,US,Arroyo Seco
Sipp Mack,France,Alsace
St. Amant,US,Mokelumne River
Stoller,US,Dundee Hills
Fable Mountain,South Africa,NA
Vine Cliff,US,Los Carneros
Va Piano,US,Walla Walla Valley (WA)
Y Rousseau,US,Mount Veeder
Monte Volpe,US,Mendocino
Palladino,Italy,Barolo
Paradise Ridge,US,Rockpile
Pecchenino,Italy,Dogliani Superiore
Poet's Leap,US,Columbia Valley (WA)
Rafael Cambra,Spain,Valencia
Raphael,US,North Fork of Long Island
Seven Hills,US,Walla Walla Valley (WA)
Snoqualmie,US,Columbia Valley (WA)
Stags' Leap Winery,US,Napa Valley
The Grapes of Roth,US,Long Island
The Withers Winery,US,Anderson Valley
Truchard,US,Carneros
Acacia,US,Carneros
Array,US,Yakima Valley
Baracchi Riccardo,Italy,Cortona
Barrister,US,Columbia Valley (WA)
Bodegas Berceo,Spain,Rioja
Bunnell,US,Columbia Valley (WA)
Castello di Neive,Italy,Piemonte
Castello di Querceto,Italy,Colli della Toscana Centrale
Chateau Ste. Michelle,US,Horse Heaven Hills
Cobb,US,Sonoma Coast
Comm. G. B. Burlotto,Italy,Barolo
Cooper-Garrod,US,Santa Cruz Mountains
Mosquito Fleet,US,Red Mountain
Nadia,US,Santa Barbara County
Nittnaus Hans und Christine,Austria,NA
Nottingham Cellars,US,Livermore Valley
Poggio Argentiera,Italy,Morellino di Scansano
Pride Mountain,US,Sonoma County
Reyneke,South Africa,NA
Ruffino,Italy,Chianti Classico
Saint Clair,New Zealand,NA
Soellner,Austria,NA
Woodinville Wine Cellars,US,Columbia Valley (WA)
Kanonkop,South Africa,NA
El Enemigo,Argentina,Mendoza
Château d'Esclans,France,Côtes de Provence
Château Riotor,France,Côtes de Provence
Château Sainte Marguerite,France,Côtes de Provence
Cloudy Bay,New Zealand,NA
Domaine de la Bastide Blanche,France,Côtes de Provence
Domaine Sainte-Marie,France,Côtes de Provence
Dry Creek Vineyard,US,Dry Creek Valley
Dry River,New Zealand,NA
Dutton Estate,US,Russian River Valley
Failla,US,Russian River Valley
Friedeman,US,Russian River Valley
Akarua,New Zealand,NA
Benvenuto de la Serna,Argentina,Valle de Uco
Carrick,New Zealand,NA
JCB,France,Côtes de Provence
Casca Wines,Portugal,NA
Cave de Viré,France,Mâcon-Villages
Cortes de Cima,Portugal,NA
Domaine Bousquet,Argentina,Tupungato
Messias,Portugal,NA
Mont Sec,US,Texas
Paolo Manzone,Italy,Barolo
Quinta de Paços,Portugal,NA
Rascal,US,Oregon
Terrazas de Los Andes,Argentina,Salta
Jack's House,US,California
Kiwi Cuvée,France,Vin de France
Domaine Michel Goubard,France,Côte Chalonnaise
Domaine Poulleau Père et Fils,France,Chorey-lès-Beaune
Durigutti,Argentina,Mendoza
El Esteco,Argentina,Calchaquí Valley
Felten Cellars,US,Paso Robles
Wines & Winemakers,Portugal,NA
Lagarde,Argentina,Luján de Cuyo
Marchesi di Barolo,Italy,Barolo
McPherson,US,Texas
Patriarche Père et Fils,France,Coteaux Bourguignons
Paul Reitz,France,Saint-Véran
Pech Merle,US,Dry Creek Valley
Punset,Italy,Barbaresco
Ribafreixo,Portugal,NA
Jacob's Creek,Australia,South Eastern Australia
William Knuttel,US,Sonoma Coast
Casa Larga,US,Finger Lakes
Cave de Beblenheim,France,Alsace
De Loach,US,Sonoma Coast
Dopff Au Moulin,France,Alsace
Center of Effort,US,Edna Valley
Handley,US,Anderson Valley
Kuleto Estate,US,Napa Valley
Lane Tanner,US,Santa Maria Valley
MacRostie,US,Sonoma Coast
Monte De Oro,US,Temecula Valley
Ninquén,Chile,NA
Oro de Castilla,Spain,Rueda
Pablo del Villar,Spain,Rueda
Pax,US,North Coast
Robert Foley,US,Napa Valley
42°S,Australia,Tasmania
Manyana,Spain,Cariñena
McWilliam's Hanwood Estate,Australia,South Eastern Australia
Paternoster,Italy,Aglianico del Vulture
G. H. Mumm,France,Champagne
Jean Milan,France,Champagne
Monte da Penha,Portugal,NA
Patton Valley,US,Willamette Valley
Pierre Gimonnet et Fils,France,Champagne
Scubla,Italy,Colli Orientali del Friuli
Adelsheim,US,Dundee Hills
Bruno Paillard,France,Champagne
Castello d'Albola,Italy,Vin Santo del Chianti Classico
Ferrari,Italy,Trento
Laetitia,US,Arroyo Grande Valley
Bella,US,Alexander Valley
Quinta do Sagrado,Portugal,NA
San Pedro de Yacochuya,Argentina,Salta
Sobredos,Portugal,NA
St. Supéry,US,Rutherford
Von Schleinitz,Germany,NA
Barnard Griffin,US,Columbia Valley (WA)
Beacon Hill,US,Chehalem Mountains
Bernard Magrez,France,Médoc
Brian Carter Cellars,US,Yakima Valley
Buttonwood,US,Santa Ynez Valley
Château Corbin,France,Saint-Émilion
Château Haut-Logat,France,Haut-Médoc
Château La Branne,France,Médoc
Château Mayne Vieil,France,Fronsac
Château Mille-Roses,France,Margaux
Chessman,US,Santa Ynez Valley
Deerfield Ranch,US,Sonoma Valley
Domaine Franck Besson,France,Juliénas
Efeste,US,Red Mountain
Firesteed,US,Oregon
Iron Hub,US,Sierra Foothills
Kooyong,Australia,Mornington Peninsula
Moncaro,Italy,Verdicchio dei Castelli di Jesi Classico
Finca Constancia,Spain,Vino de la Tierra de Castilla
Aiken,US,Rutherford
Castell,Germany,NA
Donkey & Goat,US,Mendocino Ridge
Valdicava,Italy,Rosso di Montalcino
Finn Hill,US,Wahluke Slope
Keuka Spring,US,Finger Lakes
La Playa,Chile,NA
Les Vins Aujoux,France,Beaujolais-Villages
Mont Gravet,France,Côtes de Gascogne
Navardia,Spain,Rioja
Pata Negra,Spain,Cava
Ridolfi,Italy,Rosso di Montalcino
Still Waters,US,Paso Robles
Stomping Ground,US,California
Tenuta Poggio il Castellare,Italy,Brunello di Montalcino
Tenuta San Giorgio,Italy,Rosso di Montalcino
Terrapura,Chile,NA
Clos Troteligotte,France,Côtes du Lot
Columbia Winery,US,Columbia Valley (WA)
Domaine de Thulon,France,Beaujolais-Villages
Domaine du Haut-Poncié,France,Moulin-à-Vent
Domaine du Vissoux,France,Beaujolais
Dosio,Italy,Nebbiolo d'Alba
Georges Duboeuf,France,Beaujolais
Juvé y Camps,Spain,Cava
Laurent Gauthier,France,Beaujolais Rosé
Leaping Horse,US,California
Manoir du Carra,France,Beaujolais-Villages
Maryhill,US,Columbia Valley (WA)
Cottanera,Italy,Etna
CVA Canicattì,Italy,Terre Siciliane
Domaine Barmès-Buecher,France,Alsace
Domaine Bott-Geyl,France,Alsace
Domaine Collotte,France,Marsannay
Domaine Faiveley,France,Gevrey-Chambertin
Domaine Jacques Prieur,France,Beaune
Domaine René Bouvier,France,Marsannay
Domaine Roland Schmitt,France,Alsace
Dr. H. Thanisch (Erben Thanisch),Germany,NA
Easton,US,Amador County
Edna Valley Vineyard,US,Edna Valley
Fattoria La Rivolta,Italy,Sannio
Fess Parker,US,Santa Barbara County
Foretell,US,Spring Mountain District
Gershon Bachus,US,Temecula Valley
Graci,Italy,Etna
Tornatore,Italy,Etna
West of Temperance,US,Sta. Rita Hills
Winzergenossenschaft Mayschoss-Altenahr,Germany,NA
Baglio del Cristo di Campobello,Italy,Sicilia
Beresford,Australia,McLaren Vale
Carabella,US,Chehalem Mountains
Casa Dumetz,US,Ballard Canyon
Greenwood Ridge,US,Mendocino Ridge
Herencia,US,Napa Valley
J. Scott Cellars,US,Oregon
Chateau Dereszla,Hungary,NA
Quinta do Vallado,Portugal,NA
Roquette e Cazes,Portugal,NA
Vall Llach,Spain,Priorat
Ceralti,Italy,Bolgheri Superiore
Château Bel-Air Ortet,France,Saint-Estèphe
Château Ferrière,France,Margaux
Fuentes,Spain,Priorat
Fuse,US,Napa Valley
I Luoghi,Italy,Bolgheri Superiore
J Vineyards & Winery,US,Russian River Valley
Kokomo,US,Dry Creek Valley
Loup Blanc,France,Minervois
Maritávora,Portugal,NA
